sample,context,precision,sensitivity,fmeasure
HiSeqX10_LAB01_Son_REP03,L1,0.9957,0.9777,0.9866
HiSeqX10_LAB01_Son_REP03,L2,0.9988,0.9960,0.9974
HiSeqX10_LAB01_Son_REP03,lowcomplexity,0.9938,0.9879,0.9908
HiSeqX10_LAB01_Son_REP03,LTR,0.9977,0.9945,0.9961
HiSeqX10_LAB01_Son_REP03,satellite,0.9943,0.9891,0.9917
HiSeqX10_LAB01_Son_REP03,simplerepeat,0.9910,0.9854,0.9882
HiSeqX10_LAB02_Father_REP01,Alu,0.9966,0.9931,0.9949
HiSeqX10_LAB02_Father_REP01,L1,0.9965,0.9803,0.9883
HiSeqX10_LAB02_Father_REP01,L2,0.9984,0.9957,0.9970
HiSeqX10_LAB02_Father_REP01,lowcomplexity,0.9965,0.9899,0.9932
HiSeqX10_LAB02_Father_REP01,LTR,0.9977,0.9940,0.9958
HiSeqX10_LAB02_Father_REP01,satellite,0.9881,0.9867,0.9874
HiSeqX10_LAB02_Father_REP01,simplerepeat,0.9919,0.9860,0.9890
HiSeqX10_LAB02_Mother_REP01,Alu,0.9968,0.9932,0.9950
HiSeqX10_LAB02_Mother_REP01,L1,0.9963,0.9804,0.9883
HiSeqX10_LAB02_Mother_REP01,L2,0.9988,0.9956,0.9972
HiSeqX10_LAB02_Mother_REP01,lowcomplexity,0.9937,0.9877,0.9907
HiSeqX10_LAB02_Mother_REP01,LTR,0.9984,0.9947,0.9965
HiSeqX10_LAB02_Mother_REP01,satellite,0.9975,0.9467,0.9714
HiSeqX10_LAB02_Mother_REP01,simplerepeat,0.9907,0.9839,0.9873
HiSeqX10_LAB02_Son_REP01,Alu,0.9973,0.9939,0.9956
HiSeqX10_LAB02_Son_REP01,L1,0.9965,0.9787,0.9875
HiSeqX10_LAB02_Son_REP01,L2,0.9987,0.9961,0.9974
HiSeqX10_LAB02_Son_REP01,lowcomplexity,0.9947,0.9881,0.9914
HiSeqX10_LAB02_Son_REP01,LTR,0.9984,0.9945,0.9965
HiSeqX10_LAB02_Son_REP01,satellite,0.9958,0.9895,0.9926
HiSeqX10_LAB02_Son_REP01,simplerepeat,0.9904,0.9826,0.9865
HiSeqX10_LAB02_Son_REP02,Alu,0.9973,0.9937,0.9955
