sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,74,521655
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,75,436601
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,76,365827
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,77,321082
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,78,280915
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,79,237955
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,80,198651
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,81,166373
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,82,141268
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,83,117456
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,84,99100
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,85,75825
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,86,55396
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,87,40639
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,88,28346
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,89,19809
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,90,11147
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,91,14002
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,92,5490
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,93,3971
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,94,11286
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,95,21657
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,96,6366
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,97,30686
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,98,24903
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,99,8143
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,100,15
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,0,60123
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,1,4972
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,2,6778
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,3,18923
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,4,11992
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,5,15681
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,6,24122
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,7,48343
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,8,34444
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,9,43847
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,10,59168
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,11,83258
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,12,117332
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,13,170473
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,14,258799
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,15,404426
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,16,627178
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,17,1001205
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,18,1553786
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,19,2330836
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,20,3390845
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,21,4846982
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,22,6556836
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,23,8741079
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,24,11264215
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,25,14052098
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,26,17212296
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,27,20491160
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,28,23938215
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,29,27416322
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,30,30739330
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,31,33983911
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,32,37101155
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,33,40087407
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,34,42796444
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,35,45394253
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,36,47505040
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,37,48583993
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,38,48853842
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,39,48244054
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,40,46639558
