sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,79,0.858562
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,80,0.848571
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,81,0.864443
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,82,0.893760
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,83,0.906003
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,84,1.060478
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,85,1.190261
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,86,1.364804
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,87,1.620986
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,88,1.550810
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,89,1.719748
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,90,1.678312
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,91,3.248047
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,92,2.175597
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,93,2.794247
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,94,17.975935
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,95,47.864896
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,96,49.306555
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,97,268.231936
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,98,492.185296
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,99,171.266023
